Title,Source title,Year,DOI,Cited by,term_loc
Documentation of patient identification into the electronic system to improve the quality of nursing services,International Journal of Scientific and Technology Research,2019,,1,abstract
The importance of implementing environmental variables in the process of assessment of healthcare efficiency through DEA,Ekonomicky casopis,2019,,9,abstract
CNC machining technology process design and programming of transmission shaft,Paper Asia,2018,,1,abstract
THE IMPLICATIONS OF REGIONAL COMPETITIVENESS ON REGIONAL DEVELOPMENT POLICY AND ECONOMIC COHESION,Theoretical and Practical Research in the Economic Fields,2019,10.14505/tpref.v10.1(19).04,1,abstract
Mortality by educational level in Russia,HSE Economic Journal,2017,,9,abstract
Does demographic transition contribute to economic development? Case studi in Indonesia,International Journal of Scientific and Technology Research,2019,,0,abstract
Regional practice of project management in the process of primary health care improvement by using supply chain strategy,International Journal of Supply Chain Management,2019,,1,abstract
World population: Growth and ageing; [La population du monde: Croissance et vieillissement],Futuribles: Analyse et Prospective,2016,,0,nowhere
Analysis of factors that affect poverty in Indonesia; [Análisis de los factores que afectan la pobreza en Indonesia],Espacios,2018,,14,abstract
Cost-utility of surgical sutureless bioprostheses vs TAVI in aortic valve replacement for patients at intermediate and high surgical risk,ClinicoEconomics and Outcomes Research,2018,10.2147/CEOR.S185743,13,abstract
"Level of compliance with the European Social Charter by the Spanish State, in the matter of prevention of labour risks, health, social security and social protection; [Nivel de cumplimiento de la Carta Social Europea por parte del Estado Español, en materia de prevención de riesgos laborales, salud, Seguridad Social y protección social]",Revista del Ministerio de Empleo y Seguridad Social,2018,,1,abstract
The Long-Term Impact of Price Controls in Medicare Part D,Forum for Health Economics and Policy,2017,10.1515/fhep-2016-0011,3,abstract
Rethinking health services measurement for Indigenous populations,Statistical Journal of the IAOS,2019,10.3233/SJI-180465,7,abstract
Universities of the third age and their role in education and preventive gerontology,European Journal of Sustainable Development,2020,10.14207/ejsd.2020.v9n3p58,5,abstract
"The life expectancy of plates: Improving longevity through optimized plate making, Handling & care",Flexo,2017,,0,title
Brazilian Analytical Decision Model for Cardiovascular Disease: An Adaptation of the Scottish Cardiovascular Disease Policy Model,Value in Health Regional Issues,2018,10.1016/j.vhri.2018.01.002,3,abstract
Why are obsolete mobile phones difficult to recycle in China?,"Resources, Conservation and Recycling",2019,10.1016/j.resconrec.2018.10.030,115,abstract
Alerting system for medicine dispensing,International Journal of Advanced Research in Engineering and Technology,2019,10.34218/IJARET.10.2.2019.044,0,abstract
How do trade openness and public expenditures affect health status in OIC member countries? An empirical analysis,Pakistan Journal of  Commerce and  Social Sciences,2019,,9,abstract
Corporate wargaming and other techniques for testing e-health solutions in Chile,Monitoring Obshchestvennogo Mneniya: Ekonomicheskie i Sotsial'nye Peremeny,2019,10.14515/monitoring.2019.5.05,0,abstract
Identification of explanatory variables pertaining to attack intensity on U.S. embassies in countries of the Middle East and North Africa,Applied Geography,2017,10.1016/j.apgeog.2017.03.005,3,abstract
Modelling the cost-effectiveness of statin therapy in rheumatoid arthritis: a Markov-cycle evaluation from national data bank for rheumatic diseases,Journal of Pharmaceutical Health Services Research,2017,10.1111/jphs.12184,0,INDEX_KW_ONLY
An international comparison of rice consumption behaviours and greenhouse gas emissions from rice production,Journal of Cleaner Production,2018,10.1016/j.jclepro.2017.11.182,146,abstract
Models of management and satra institutions,International Journal of Scientific and Technology Research,2019,,0,abstract
Dynamics of life expectancy in Russia over the last half century and prospects of reaching the 80+ level by 2030,Population and Economics,2019,10.3897/popecon.3.e37964,0,title
Performance analysis of brain tumor detection using optimization based fcm technique on mri images,International Journal of Scientific and Technology Research,2019,,7,abstract
Investigating the impact of foreign direct investment on poverty reduction efforts in Africa,Revista Galega de Economia,2018,10.15304/rge.27.2.5664,14,abstract
Evaluation of the Long-Term Impact of Improving Care for People with Type 2 Diabetes in China,Value in Health Regional Issues,2018,10.1016/j.vhri.2018.03.005,2,abstract
"Positive time preference and environmental degradation: The effects of world population growth and economic activity on intergenerational equity, 1970-2015",Applied Econometrics and International Development,2018,,4,abstract
Effect of marine protected areas and macroeconomic environment on meat consumption in SEAFO countries,Agricultural and Food Economics,2018,10.1186/s40100-018-0105-5,1,abstract
Record linkage to advance Indigenous mortality statistics in Australia - Sources of error and bias,Statistical Journal of the IAOS,2018,10.3233/SJI-170367,1,author_kw
Social capital as a determinant of population health outcomes: A global perspective,Pakistan Journal of  Commerce and  Social Sciences,2018,,7,abstract
Regional socio-economic factors influencing diabetes incidence: The case of Romania,Eastern Journal of European Studies,2018,,1,abstract
Lifecycle deficit in France: An assessment for the period 1979-2011,Economie et Statistique,2017,10.24187/ecostat.2017.491d.1905,9,abstract
Die-by Framing both Lengthens and Shortens Life: Further Evidence on Constructed Beliefs in Life Expectancy,Journal of Behavioral Decision Making,2017,10.1002/bdm.2027,11,title
Operating efficiency of quality management system of state executive authorities,Ikonomicheski Izsledvania,2018,,0,abstract
"PUBLIC HEALTH EXPENDITURE, ECONOMIC GROWTH AND HEALTH OUTCOMES IN NIGERIA",International Journal of Public Policy and Administration Research,2019,10.18488/journal.74.2019.61.23.32,10,author_kw
"Not great, again: Life expectancy in America has declined for two years in a row",Economist (United Kingdom),2018,,0,title
Gender inequality and economic development in the MENA region,Applied Econometrics and International Development,2019,,6,abstract
Investments in renovation processes in a changing environment,"Izvestiya Vysshikh Uchebnykh Zavedenii, Seriya Teknologiya Tekstil'noi Promyshlennosti",2017,,6,abstract
"Carbon emissions, human capital investment and economic development in Nigeria",International Journal of Energy Economics and Policy,2020,10.32479/ijeep.8476,14,abstract
Longevity: a new asset class,Journal of Asset Management,2018,10.1057/s41260-018-0084-9,12,abstract
Measuring CIS health systems using the stochastic frontier analysis (SFA),Economy of Regions,2020,10.17059/2020-1-5,6,abstract
The measurement of human development using the ward method of cluster analysis,Journal of International Studies,2017,10.14254/2071-8330.2017/10-2/17,33,author_kw
Reflections on demographic theories,Population and Economics,2019,10.3897/popecon.3.e37965,2,abstract
Patient and general population values for luminal and perianal fistulising Crohn’s disease health states,European Journal of Health Economics,2019,10.1007/s10198-019-01065-y,8,INDEX_KW_ONLY
The role of soils in social development of society,Ukrainian Geographical Journal,2019,10.15407/ugz2019.02.057,5,abstract
Monitoring of national health systems,World Economy and International Relations,2018,10.20542/0131-2227-2018-62-2-92-99,1,abstract
"The Economic Costs of Cardiovascular Disease, Diabetes Mellitus, and Associated Complications in South Asia: A Systematic Review",Value in Health Regional Issues,2018,10.1016/j.vhri.2017.05.003,58,INDEX_KW_ONLY
Has financial liberalisation promoted economic growth in nigeria? Evidence from auto-regressive distributed lag (ARDL) approach,Asian Economic and Financial Review,2018,10.18488/journal.aefr.2018.82.172.188,4,abstract
Management of human capital development in ensuring rural population quality of life,Ekonomika APK,2020,10.32317/2221-1055.202005066,1,abstract
Working life expectancy in Russia,HSE Economic Journal,2017,,17,title
India’s Proposed Universal Health Coverage Policy: Evidence for Age Structure Transition Effect and Fiscal Sustainability,Applied Health Economics and Health Policy,2016,10.1007/s40258-016-0270-1,4,INDEX_KW_ONLY
Hospital-acquired anemia in chronic kidney disease,International Journal of Scientific and Technology Research,2019,,0,abstract
"Dynamic analysis of copper consumption, in-use stocks and scrap generation in different sectors in the U.S. 1900–2016","Resources, Conservation and Recycling",2018,10.1016/j.resconrec.2018.07.022,26,abstract
Analysis of natural reproduction’s modern tendencies of republic of kazakhstan,International Journal of Economic Perspectives,2017,,0,author_kw
Reusability analytics tool for end-of-life assessment of building materials in a circular economy,"World Journal of Science, Technology and Sustainable Development",2019,10.1108/WJSTSD-05-2018-0041,55,abstract
Determinants of happiness in Japan and the Netherlands: Macro and micro analysis and comparison,Asia-Pacific Review,2018,10.1080/13439006.2018.1484618,10,abstract
The European and Eurafrican population of the danish forts on the Eighteenth-Century gold coast,African Economic History,2018,10.1353/aeh.2018.0001,4,abstract
Forecasting mortality for Kazakhstan using the lee-carter model,Journal of Advanced Research in Law and Economics,2017,10.14505/jarle.v8.6(28).15,1,abstract
Dynamics of modal age at death in 1959−2014 in Russia,Population and Economics,2019,10.3897/popecon.3.e49651,0,abstract
Lee-carter mortality forecasting: Application to mauritian population,International Journal of Recent Technology and Engineering,2019,,2,abstract
Has disability risen among the elderly in India?,Economic and Political Weekly,2019,,2,abstract
Rewiring the risk society: How society changes will reshape financial risk management,Journal of Risk Management in Financial Institutions,2018,10.69554/gkkn4369,1,abstract
                         Life cycle option selection of disassembly parts for material-based CO                         2                          saving rate and recovery cost: Analysis of different market value and labor cost for reused parts in German and Japanese cases                     ,International Journal of Production Economics,2019,10.1016/j.ijpe.2019.02.019,31,author_kw
The Option Value of Innovative Treatments for Metastatic Melanoma,Forum for Health Economics and Policy,2018,10.1515/fhep-2016-0014,18,abstract
Selected determinants of quality of life and their implications for health system,Journal of Applied Economic Sciences,2016,,0,abstract
"Height of Northern Jordanian middle-class adults, born 1960-1990 in the response to improving socio-economic conditions",Economics and Human Biology,2016,10.1016/j.ehb.2015.12.001,2,INDEX_KW_ONLY
